,Unnamed: 0.1,Unnamed: 0,doc,questions,response,information
0,0,0,"“Aceptar que somos animales de costumbres, que buscamos ritmo, algo predecible, pero también algo mágico y capaz de grandeza.”  
Taiichi Ohno, de Toyota, cita estas palabras: “El desperdicio es un crimen contra la sociedad, antes que una pérdida de dinero.”

El Sistema de Producción Toyota, desarrollado por Taiichi Ohno, se centra en los conceptos de ""trabajo en proceso"" e ""inventario"". El objetivo es minimizar la cantidad de elementos en proceso para evitar desperdicios. En la manufactura esbelta, la idea es reducir a la mitad, es decir, no hacer nada realmente. Tareas inacabadas y productos no utilizados representan dos aspectos negativos del mismo problema: la inversión de esfuerzo sin resultados positivos. Es crucial evitarlo.

La empresa tuvo que deshacerse de empleados que no liberaron el cambio, no por incompetentes, sino porque retenían información y conocimientos en su beneficio, obstaculizando el crecimiento indispensable para ayudar al equipo y la compañía. Cambiar esa cultura es lo que permite emerger la excelencia verdadera. Taiichi Ohno sabía cómo funcionaban las cosas: liberarse del desperdicio era la clave para acelerar los equipos. Todos conocemos las historias, las cosas que deben hacerse. Y las hemos evaluado: esta es un uno, aquella un tres, etc. Es crucial preguntar acerca de cuándo estará terminado el trabajo, porque sabemos cómo medir lo que hace el equipo.","Taiichi Ohno de Toyota enfatiza la importancia de eliminar el desperdicio en la producción. El Sistema de Producción Toyota se centra en minimizar el trabajo en proceso e inventario para evitar desperdicios. Es crucial evitar tareas inacabadas y productos no utilizados, ya que representan una inversión de esfuerzo sin resultados positivos. La empresa tuvo que deshacerse de empleados que retenían información y conocimientos en su beneficio, obstaculizando el crecimiento necesario. Cambiar esta cultura es fundamental para lograr la excelencia. 
",,
1,1,1,"Somos muy malos para estimar, pero tengo que hacer algo, ¿de acuerdo? Debo tener un plan. Tienes razón. Pero la clave es ir afinando el plan a lo largo del proyecto, no dejarlo terminado desde el principio. Planea en detalle apenas lo suficiente para cumplir el próximo incremento de valor y calcula el resto del proyecto en líneas generales.

Para llevar a cabo un proyecto, primero es crucial elaborar una lista detallada de todos los elementos que lo conforman. Este proceso implica una inversión de tiempo y dinero. Los seres humanos tendemos a ser pesimistas en este aspecto, pero somos buenos para la evaluación relativa, que implica comparar tareas entre sí. No todos empleamos patrones para llevar a cabo esta evaluación, sin embargo, existe un patrón conocido como la serie de Fibonacci, cuyos números están bastante separados entre sí para notar fácilmente sus diferencias. Es sencillo optar por un extremo u otro de esta serie.

Cada persona recibe un mazo de naipes con los números de Fibonacci: 1, 3, 5, 8, 13, etcétera. Luego, cada tarea por calcular se pone sobre la mesa. Todos tiran entonces la carta que creen que representa la cantidad de esfuerzo correcta y la ponen boca abajo. Después, todos voltean al mismo tiempo. Si la secuencia resultante es de números sucesivos (como cinco, dos, ocho y trece), el equipo los suma, saca el promedio (en este caso, 7.6) y pasa a la tarea siguiente.  
Recuerda que hablamos de estimaciones, no de cálculos rígidos. Y de estimaciones sobre partes reducidas del proyecto. Si la distancia entre dos números es de más de tres cartas, quienes tiraron los naipes respectivos explican sus razones, tras de lo cual se juega otra ronda de póker de planeación. Por el contrario, se promedian las estimaciones, lo que dará números aproximados a los que dieron los estadísticos en la Rand Corporation.","Debo tener un plan para el proyecto, pero es importante ajustarlo a lo largo del tiempo. Se debe elaborar una lista detallada de elementos y utilizar la serie de Fibonacci para estimar el esfuerzo requerido en cada tarea. Cada persona elige un número de la serie para representar el esfuerzo, se suman y se promedian para obtener una estimación aproximada. Si la diferencia entre dos números es grande, se discuten las razones y se realiza otra ronda de estimaciones.",,
2,2,2,"La clave, sin embargo, es decidir qué hacer primero. Las preguntas que debes hacerte son: ¿cuáles son los elementos con mayor efecto de negocios, los más importantes para el cliente, los que pueden producir más dinero y los más fáciles de hacer? Debes percatarte de que hay muchos elementos en esa lista que nunca conseguirás, pero has de conseguir primero los que rinden más valor con menos riesgo.  
Comienza a ofrecer valor a tus clientes en cuanto sea posible. Necesitas algo que esté completamente terminado, algo que puedas enseñarles. ¿Y si pudieras empezar a ofrecer cinco veces más rápido que la competencia, con cinco veces más valor? Sería un éxito inicial total.

La clave radica en no tener un diseño completamente establecido desde el principio, sino en crear un prototipo funcional y ver en qué puede mejorarse. Cuanto más pronto tengas acción real, más rápido podrás hacer un mejor coaching. Cuando piensas en fabricar algo, no supones que no podrás ofrecer algo valioso hasta el final. En cambio, intentas pensar en el producto mínimo viable.  
Según la industria a la que pertenezcas o de la organización que dirijas, podría resultarte difícil hacerte a la idea de lanzamientos incrementales. Por tanto, si no puedes poner algo frente a un cliente externo, identifica a un cliente interno, el responsable del producto, por ejemplo, que pueda actuar en sustitución del público.  
Enseña a tu cliente interno cualquier cosa que despierte reacción realista útil. La idea es darte la oportunidad de inspeccionar y adaptar. Una organización que no pueda reaccionar a nuevas condiciones, competidores o gustos está en dificultades.

Cada vez que haces algo, debes ponerlo lo más pronto posible en manos de quienes van a usarlo. Tienes que hacerlo antes de producir el veinte por ciento de las funciones, y hacerlo con algo que ofrezca al menos un poco de valor. Llaman a este producto mínimo viable (PMV).  
¡Debes presentarlo en público lo más pronto posible! Esto te brindará la realimentación necesaria para potenciar tu ciclo de decisión y priorización.  
Comete pronto estos errores, con el menor daño posible. No te obsesiones con cumplir una lista completa de cosas —con todo y el fregadero de la cocina—; concéntrate en cumplir lo más valioso: lo que la gente de verdad quiere o necesita.","La clave es decidir qué hacer primero, enfocándote en los elementos de mayor efecto de negocios, los más importantes para el cliente, los que pueden producir más dinero y los más fáciles de hacer. Comienza a ofrecer valor a tus clientes lo antes posible, con un producto mínimo viable que puedas enseñarles. No necesitas un diseño completamente establecido desde el principio, sino un prototipo funcional que puedas mejorar con la acción real. Realiza lanzamientos incrementales y recibe retroalimentación para adaptarte a nuevas condiciones. Pon tu producto en manos de los usuarios lo más pronto posible, antes de completar todas las funciones, y concéntrate en lo más valioso para ellos.",,
3,3,3,"Al llevar a cabo la implementación de Scrum, lo primero que debes hacer es elaborar una lista de Pendientes. Es fundamental tener una clara idea de lo que deseas lograr al final del trabajo. Aunque los Pendientes no son reglas o piezas específicas, son todas las ""historias"" necesarias. Escribieron cosas como ""En mi calidad de propietario de una casa, me gustaría poder ver quién llama a mi puerta para abrirla únicamente a quien quiero que entre"". La idea en la que se basan los Pendientes es que deben contener todo lo que el producto podría incluir. En realidad, no vas a fabricarlo todo, pero necesitas una lista de lo que podría incluir esa visión del producto.

Mañana implementarás Scrum en tu lugar de trabajo. El primer paso es reunir una lista de Pendientes y un equipo. Piensa en la visión que tienes de tu producto, servicio o lo que sea, y comienza a desglosar lo que debes hacer para realizarla. No necesitas mucho. Basta con Pendientes para una semana.  
Luego, como responsable del producto, elabora una guía de caminos que te permita ver hacia dónde te diriges. ¿Cuánto crees poder terminar este trimestre? ¿Dónde quieres estar este año?  
No estás haciendo un contrato de compromisos obligatorios; simplemente estás asentando tus ideas acerca de dónde estarás en un tiempo.

Decide qué harán los equipos en cada sprint. Importante, sin embargo, es empezar, así que comienza de una vez. Scrum está diseñado para que puedas poner a andar un equipo en un par de días. Consigue tu lista de Pendientes, planea tu primer sprint y lánzate. No es necesario dedicar mucho tiempo a la planificación, reflexión, meditación, declaraciones de misión o proyecciones a cinco años. Deja esto a la competencia y que muerda el polvo.","Debes implementar Scrum en tu lugar de trabajo. El primer paso es elaborar una lista de Pendientes que contenga todas las ""historias"" necesarias para el producto. Reúne un equipo y comienza a desglosar lo que debes hacer para realizar tu visión. No necesitas compromisos obligatorios, solo asentar tus ideas sobre dónde quieres estar en un tiempo. Decide qué harán los equipos en cada sprint y comienza de inmediato, sin dedicar mucho tiempo a la planificación excesiva. Scrum te permite poner en marcha un equipo en pocos días.",,
4,4,4,"La felicidad real de las personas radica en la autonomía, maestría y propósito, elementos que se preludian en Scrum a través de la transparencia. En este marco, la transparencia permite concentrarse en mejorar al equipo, ya que en Scrum todo es visible, desde los salarios hasta los gastos, y cada dato financiero está disponible para todos. Se cuestiona por qué alguien querría mantener oculta información que podría emplearse para promover una agenda individual o manipular a las personas.  
El objetivo es que todos en la compañía se unan a un mismo propósito, atomizando a las personas en silos informativos retraza a todos. La confianza en que las personas contratadas estarán a tu lado en tus actividades, empleando a la gente equivocada y rigiendo un sistema condenado al fracaso. Todos saben exactamente qué hace el equipo, qué se ha hecho y qué está por hacerse, pudiendo regularse.

El cuarto tipo de personas es aquel que Scrum trata de identificar y alentar: el individuo que trabaja en algo divertido hoy, pero con la mira puesta en un mejor futuro y que está convencido de que esto será divertido siempre. Esta clase de personas raramente experimentan fatiga o desilusión. Están libres de los sentimientos negativos por el trabajo de los hedonistas, los nihilistas y los gerentes adictos a la carrera de ratas que se empeñan en hacer que todos acaten la disciplina.

La razón de planear así es crear transparencia en la organización. Si tienes un equipo de ventas, debes saber en qué funciones estás trabajando para poder empezar a promoverlas. El liderazgo debe tener una idea sobre la fuente de ingresos, así como cuándo y cuánto. El mensaje clave es que todo debe hacerse a descubierto. Cualquiera debe poder ver dónde está tu producto en cualquier momento. Debes poder ver el avance terminando historias en el pizarrón de Scrum. Debes poder ver puntos gráficos de historias contra el tiempo y una línea estable en dirección a cero, nada, para saber cuántos puntos de historias hizo tu equipo en el último sprint y cuántos calculará en el siguiente.  
Debes saber que, como responsable del producto, se te evaluará con base en los ingresos y los costos.","La felicidad real de las personas radica en la autonomía, maestría y propósito, elementos que se preludian en Scrum a través de la transparencia. En Scrum todo es visible, desde los salarios hasta los gastos, y cada dato financiero está disponible para todos. El objetivo es que todos en la compañía se unan a un mismo propósito, evitando atomizar a las personas en silos informativos. Scrum busca identificar y alentar a individuos que trabajan en algo divertido hoy, pero con la mira puesta en un mejor futuro. La razón de planear así es crear transparencia en la organización, donde todo debe hacerse a descubierto, desde el avance del producto hasta la evaluación basada en ingresos y costos.",,
5,5,5,"En Scrum, todos y cada uno de los sprints deben anticiparse en lo que se llama la reunión de Planeación del Sprint. Esta congrega a todos los participantes, quienes analizan la lista de historias por ejecutar y dicen: ""¿Qué podemos hacer en este sprint? ¿Están listas estas historias? ¿Podrán terminarse para el final de esta repetición? ¿Podremos mostrarlas entonces al cliente y comprobar que poseen valor real?""

Las tareas como las historias de usuario representan lo que se debe hacer en un sprint, todos saben exactamente qué está haciendo el equipo. Dado que se sabe qué se hizo ya y qué está por hacerse, puede organizarse para resolver problemas que se vuelvan obvios una vez que todo es transparente.","En Scrum, la reunión de Planeación del Sprint es crucial, ya que en ella se analiza la lista de historias por ejecutar y se determina qué se puede hacer en el sprint actual. Las tareas, como las historias de usuario, representan lo que se debe hacer en cada sprint, lo que permite que todos en el equipo sepan exactamente qué está haciendo el equipo. Esto facilita la organización para resolver problemas que puedan surgir una vez que todo es transparente.",,
6,6,6,"Cuando escribes tus historias, sin embargo, no olvides que deben ser cortas y precisas para poder evaluarlas. Recuerda que el equipo decide cómo hacer el trabajo, pero qué hacer se decide con base en su valor de negocios. Estas historias son las que pueden interesar a un equipo. Pueden inducir una conversación sobre cómo implementarlas. Son tan específicas que pueden llevarse a la práctica, pero no prescriben la forma de hacerlo. La serie completa de historias que podrían componer la idea de una librería en línea se conoce como «epopeya», una historia demasiado grande para ser puesta en ejecución, pero que incluye historias menores que constituyen en conjunto una idea.

La historia debe cumplir con el criterio INVEST (Independiente, Negociable, Valiosa, Estimable, Pequeña, Comprometable, Probable), ser práctica y completada por sí sola, sin depender en su totalidad de otros. Debe aportar valor a clientes, usuarios o interesados, ser reevaluable y lo suficientemente corta para ser fácilmente calculada y planificada. Si es demasiado extensa, debe ser reescrita o dividida en historias más pequeñas. Antes de ejecutarla, se debe realizar una prueba que confirme su completitud. En proyectos reales, se ha observado que si las historias están listas, el equipo duplicará la velocidad de implementación, y si se completan al final de un sprint, los equipos podrán duplicar su velocidad nuevamente.","Las historias deben ser cortas, específicas y prácticas, cumpliendo con el criterio INVEST. Deben aportar valor, ser completadas por sí solas y ser reevaluables. Si son demasiado extensas, deben ser reescritas o divididas en historias más pequeñas. Se debe realizar una prueba antes de ejecutarlas para confirmar su completitud. Si las historias están listas, el equipo puede duplicar la velocidad de implementación, y si se completan al final de un sprint, los equipos podrán duplicar su velocidad nuevamente.",,
7,7,7,"Permitir que el responsable del producto tome decisiones rápidamente, a partir de la realimentación en tiempo real. Al recibir aportaciones constantes de quien obtiene valor de lo que tú haces, ya sea la persona que hace clic en el botón ""Comprar"" en Amazon, los feligreses de tu iglesia, los niños en un aula o alguien que se prueba un vestido, estás en posición de ajustar instantemente tu estrategia y triunfar más pronto.  
Observa, Oriéntate, Decide y Actúa. Y aunque pueda parecer gracioso al oírlo, es mortal en la guerra y los negocios.  
La observación es fundamental para comprender no solo el entorno en el que te desenvuelves, sino también qué mundo eres capaz de percibir. Esta mezcla de Observación y Orientación conduce a una Decisión que resulta en Acción. SCRUM confiere al responsable del producto la capacidad de evaluar cuánto valor genera ese incremento funcional y cómo reacciona la gente ante él.

Al enfrentarse rápidamente a los clientes, se descubren aumentos incrementales en la demanda, lo que revela qué valoran y qué están dispuestos a pagar. Este enfoque directo permite a las empresas adaptarse más eficazmente a las necesidades y deseos del mercado, minimizando así los riesgos y capitalizando las oportunidades de crecimiento.","Permitir al responsable del producto tomar decisiones rápidamente a partir de la realimentación en tiempo real es fundamental para ajustar la estrategia y triunfar más pronto. Observar, orientarse, decidir y actuar es clave en la guerra y los negocios. SCRUM brinda la capacidad de evaluar el valor generado por un incremento funcional y la reacción de la gente. Enfrentarse rápidamente a los clientes revela aumentos en la demanda, permitiendo a las empresas adaptarse eficazmente a las necesidades del mercado y capitalizar oportunidades de crecimiento.",,
8,8,8,"Aunque Ohno no mencionó un cuarto tipo de desperdicio, a mí me viene a la mente el ""desperdicio emocional"". Surge cuando una compañía tiene en sus filas a un idiota, alguien que gusta de complicarle la vida a la gente y ponerla nerviosa. Los idiotas suelen justificar su conducta diciendo que intentan que la gente trabaje mejor. Pero lo cierto es que solo satisfacen los aspectos negativos de su personalidad y nada menosprecian más la aptitud de un equipo para sobresalir.

El despilfarro que Ohno llamó ""irracionalidad"" consiste en desafíos impulsados hacia metas más altas, pero no hacia metas absurdas e imposibles. La segunda clase de despilfarro es la de las ""expectativas poco razonables"". Equipos que dependen de actos heroicos regulares para cumplir con sus fechas límite no trabajan como deberían, pasando de una crisis a otra sin permitir una mejor calidad y continuidad. Ohno identificó un tercer tipo de despilfarro como ""sobrecarga"". Esto incluye políticas onerosas de la compañía, informes inútiles que ocupan tiempo y reuniones sin sentido que no aportan valor alguno. La metodología Scrum dirige nuestra mente hacia la eliminación del despilfarro absurdo que parece ser parte del trabajo.","Ohno identificó tres tipos de despilfarro en una empresa: ""irracionalidad"", que implica desafíos hacia metas más altas pero no absurdas; ""expectativas poco razonables"", que llevan a dependencia de actos heroicos para cumplir fechas límite; y ""sobrecarga"", que incluye políticas onerosas, informes inútiles y reuniones sin sentido. También se menciona el ""desperdicio emocional"", causado por personas que complican la vida de los demás y afectan la capacidad del equipo para sobresalir. La metodología Scrum busca eliminar este despilfarro absurdo en el trabajo.",,
9,9,9,"Para equilibrar múltiples atributos del producto, es crucial priorizar. Enfocarse únicamente en lo que se puede hacer puede llevar a trabajar en algo que nadie quiere, incluso si apasiona. Si solo te enfocas en lo que puedes vender, podrías ofrecer cosas que en realidad no se pueden hacer. Si solo haces lo que puedes vender pero no te apasiona, terminarás trabajando para crear mediocridad. Sin embargo, en el centro de ese punto álgido, está una visión fundamentada en la realidad: una visión con una posibilidad real de convertirse en algo grandioso.

Como dice Scott Maxwell, la parte difícil no es saber qué quieres, sino qué puedes lograr. Deduce qué puedes ofrecer más valor con menos esfuerzo, y hazlo de inmediato. ¿Cómo hacerlo? Primero necesitas a alguien que sepa cuál es la visión y dónde radica el valor. En Scrum, esta persona se llama ""responsable del producto"".","Es crucial priorizar para equilibrar múltiples atributos del producto. Enfocarse solo en lo que se puede hacer o vender puede llevar a trabajar en algo no deseado. Es importante tener una visión fundamentada en la realidad para crear algo grandioso. La parte difícil es saber qué puedes lograr. Deduce cómo ofrecer más valor con menos esfuerzo y hazlo de inmediato. En Scrum, el responsable del producto es clave para esto.",,
10,10,10,"El cambio cultural se produce cuando, habiendo observado las acciones de quienes lo preceden, un individuo juzga óptimo seguir la conducta del anterior sin considerar su propia información. La gente dentro del supuesto de que los demás emiten juicios razonables, incluso si contradicen los propios.  
Al formar una idea de cuándo entregar un proyecto multimillonario, es crucial usar tu propio criterio y otras estimaciones para mejorar tu suerte, no reemplazarla. Un problema común es el ""efecto halo"", donde un rasgo de algo influye en la forma en que la gente percibe otros rasgos no asociados con eso.  
En el caso del efecto tren, las personas que atienden al ""halo"" no examinan los datos reales; en su lugar, gravitan hacia algo que ilustre positividad. Se declaró la intención de hacer preguntas evitando que las opiniones de una persona afectaran las de otra.

Es crucial, sin embargo, que la estimación corra cargo del equipo que llevará a cabo el trabajo, no de expertos “ideales”.  
Este sencillo método permite evitar todo condicionamiento, como los efectos tren y halo, y a la vez compartir entre los miembros del equipo conocimientos sobre una tarea particular.","El cambio cultural se produce cuando un individuo sigue la conducta de otros sin considerar su propia información. Es importante usar tu criterio y otras estimaciones al entregar un proyecto multimillonario para mejorar tu suerte. El ""efecto halo"" puede influir en la percepción de las personas sobre diferentes rasgos. En el caso del efecto tren, las personas se dejan llevar por la positividad en lugar de examinar los datos reales. Es crucial que la estimación sea realizada por el equipo que llevará a cabo el trabajo. Evitar el condicionamiento, como los efectos tren y halo, y compartir conocimientos entre los miembros del equipo es fundamental.",,
11,11,11,"El Scrum Master y el equipo están a cargo del rápido avance y la máxima rapidez que pueden alcanzar. El responsable del producto debe traducir la productividad del equipo en valor. Un responsable del producto debe conocer el terreno, comprender el proceso que el equipo recorre para saber qué puede hacerse e igualmente qué no. También debe conocer el qué para saber cómo traducir lo que puede hacerse en valor verdadero y significativo.  
El responsable del producto debe conocer bien el mercado para saber qué marcará la diferencia. Debe tener autoridad para tomar decisiones y disponer de margen para tomar decisiones sobre cuál será la visión del producto y qué se debe hacer para realizarla. Debe estar a disposición del equipo para explicar qué se debe hacer y por qué.

Aunque está a cargo de la definición de los Pendientes, debe mantener un diálogo constante con el equipo. Sin acceso a él, el equipo no sabrá qué hacer o en qué orden llevarlo a cabo. Depende del responsable del producto respecto a ""la visión"" y, asimismo, la inteligencia del mercado sobre qué es importante.  
Debe hacerse cargo del valor. La clave es decidir cuál es la medida de valor y hacer que el responsable del producto asuma el deber de ofrecer cada vez más de él. Yo mido a un responsable del producto por los ingresos que produce por ""punto"" de esfuerzo. Todo esto es mucho pedir a una sola persona y por eso en proyectos grandes suelen haber un equipo de responsables del producto que se ocupan de todas las necesidades.","El Scrum Master y el equipo se encargan de avanzar rápidamente, mientras que el responsable del producto debe traducir la productividad del equipo en valor. Debe conocer el mercado, tener autoridad para tomar decisiones y estar disponible para explicar qué hacer y por qué. Aunque define los Pendientes, debe dialogar constantemente con el equipo para que sepan qué hacer. Debe encargarse del valor y medirse por los ingresos generados por ""punto"" de esfuerzo. En proyectos grandes, suele haber un equipo de responsables del producto para cubrir todas las necesidades.",,
12,12,12,"No es necesario cambiar radicalmente la vida de alguien para hacerla feliz, al menos por un tiempo. Aun un poco de felicidad produce resultados mucho mejores. La gente no es feliz por ser exitosa, sino exitosa porque es feliz. La felicidad es una medida predictiva.

financieros analizan el pasado, pero al preguntar a la gente qué les hace feliz, proyectan hacia el futuro. Y cuando piensan en lo feliz que están en la compañía, proyectan cómo creen que les irá en ella. Así se obtienen indicaciones de un problema antes de que surja.","La felicidad no requiere grandes cambios, incluso un poco de felicidad mejora los resultados. La gente es exitosa porque es feliz, no al revés. La felicidad es predictiva. Los financieros analizan el pasado, pero al preguntar a la gente qué les hace feliz, proyectan hacia el futuro. La felicidad en la compañía puede predecir el éxito futuro.",,
13,13,13,"En su libro ""Happier (Más feliz)"", el autor destaca que la felicidad no se logra solo disfrutando el viaje, sino alcanzando metas exitosas. La sociedad premia resultados, no solo procesos; destaca que la felicidad es crucial para el éxito empresarial y, de hecho, predice de manera más efectiva las utilidades que la mayoría de los indicadores financieros del director.

La felicidad no es solo placer, es más bien compromiso positivo y apasionado. La única ruta para tener empleados felices que también beneficien a los accionistas es la sensación de realización que resulta de hacer bien un trabajo importante. Debemos aspirar no solo a hacer ""felices"" a los empleados, sino también a lograrlo ayudándolos a alcanzar grandes cosas. Los gerentes también deberían tener tolerancia cero a la descortesía y no permitir nunca que un empleado contamine la cultura corporativa con abusos o faltas de respeto.","La felicidad es crucial para el éxito empresarial, ya que predice de manera más efectiva las utilidades que la mayoría de los indicadores financieros. La clave para tener empleados felices que beneficien a los accionistas es la sensación de realización por hacer un trabajo importante. Los gerentes deben aspirar a ayudar a los empleados a alcanzar grandes logros y no permitir la descortesía en la cultura corporativa.",,
14,14,14,"La idea de mejorar continuamente el proceso y resolver un problema justo cuando se detecta, en lugar de después, es crucial. A pesar de que los errores son inevitables ya que somos humanos, la forma en que gestionamos esos errores puede tener un gran impacto en la rapidez con la que las cosas se hacen y en su nivel de calidad. Lo que los datos añaden ahora es que si cometes un error, y todos lo hacemos, debes corregirlo tan pronto como te des cuenta, de lo contrario, te costará caro.","Es crucial mejorar continuamente el proceso y resolver problemas justo cuando se detectan. La gestión de errores puede impactar en la rapidez y calidad del trabajo. Si cometes un error, debes corregirlo tan pronto como te des cuenta para evitar consecuencias costosas.",,
15,15,15,"Los seres humanos pensamos en forma de relatos, de anécdotas. Pero nos metemos en problemas cuando intentamos extraer partes específicas de la línea argumental principal y tratarlas fuera de contexto.  
Primero, en lo que debes pensar al considerar una tarea es en el personaje o papel, como un cliente, una novia, un lector, un empleado. ¿Para quién se hará esta tarea? ¿Por el cristal de quién debemos ver el mundo al hacer este trabajo, tomar esta decisión o terminar esta parte?  
Luego debes pensar en el qué: qué quieres hacer en primer término. Por lo general, no nos detenemos en este punto, pero esto es apenas la mitad del proceso.  
Por último, debes pensar en la motivación. ¿Por qué es esta persona la que quiere tal cosa? ¿De qué servirá esto y cómo complacerá a este cliente en particular? En cierto modo, esta es la clave. La motivación lo colorea todo.","Los seres humanos pensamos en forma de relatos, de anécdotas. Nos metemos en problemas al extraer partes específicas de la línea argumental principal y tratarlas fuera de contexto. Al considerar una tarea, debemos pensar en el personaje o papel, en el qué y en la motivación. La motivación es la clave, ya que colorea todo lo que hacemos.",,
16,16,16,"¿Cómo romper esa burbuja ante tus jugadores avergonzándose en su país en una transmisión en vivo por televisión frente a millones de personas? El primer paso es estar consciente del problema, por lo cual recomiendo que los equipos midan su velocidad en cada sprint. Deben saber cuál es su índice de cambio. Si no hay crecimiento positivo, sé que debemos intensificar esfuerzos. Y la persona de la que dependo para esto es el Scrum Master. Él debe ser capaz de ver el problema y plantearlo al equipo.","El primer paso para romper la burbuja ante los jugadores es estar consciente del problema, midiendo la velocidad en cada sprint y el índice de cambio. Si no hay crecimiento positivo, se deben intensificar esfuerzos, y el Scrum Master es la persona clave para identificar y plantear el problema al equipo.",,
17,17,17,"Muchas empresas no practican los límites al horario de trabajo, dice Maxwell. Pero hay una correlación directa. Haces más, eres más feliz y alcanzas más calidad. No hay vuelta de hoja: trabajar menos permite hacer más con mayor calidad.  
¿A qué se debe que si trabajas menos hagas más? No parece tener sentido. Maxwell dice que quienes trabajan demasiado empiezan a cometer errores. Este fenómeno se llama ""fatiga del ego"".  
La idea es que tomar cualquier decisión implica un costo de energía. El agotamiento resultante es raro; no te sientes cansado físicamente, pero tu capacidad para tomar buenas decisiones disminuye. Lo que cambia es tu autocontrol, tu capacidad para ser disciplinado, reflexivo y visionario.","Trabajar menos permite hacer más con mayor calidad. Trabajar demasiado lleva a cometer errores debido a la ""fatiga del ego"", que disminuye la capacidad de tomar buenas decisiones.",,
18,18,18,"En cada momento del día, los pendientes suceden en un orden específico. La clave es admitir la incertidumbre, aceptar plenamente que tu imagen del momento del orden y el valor solo es relevante en un lapso particular. Volverá a cambiar, una y otra vez.","El orden de los pendientes cambia constantemente a lo largo del día. Es importante aceptar la incertidumbre y comprender que nuestra percepción del orden y valor de las cosas es relevante solo en un momento específico, ya que cambiará repetidamente.",,
19,19,19,"Una de las mayores fuentes de exceso de costos en cualquier contrato, ya sea para producir software, aviones o edificios, son los cambios. Los cambios son honorarios por las modificaciones.","Los cambios en cualquier contrato son una de las mayores fuentes de exceso de costos, ya que implican honorarios por modificaciones.",,
20,20,20,"En el artículo ""Dual-Task Interference in Simple Tasks: Data and Theory"" escrito por Harold Pashler en 1994, se explora la interferencia en tareas simples que requieren concentración. Pashler enfatiza la importancia de minimizar la dispersión de esfuerzos al intentar completar tareas que necesitan un tipo específico de enfoque. Es crucial ser consciente del costo de cambiar de contexto y trabajar para minimizarlo.",El artículo de Harold Pashler del 1994 explora la interferencia en tareas simples que requieren concentración. Es importante minimizar la dispersión de esfuerzos al completar tareas que necesitan un enfoque específico. Se destaca la importancia de ser consciente del costo de cambiar de contexto y trabajar para minimizarlo.,,
21,21,21,"El acto mismo de planear es tan seductor, tan atractivo que la planificación termina siendo más importante que el plan y este más importante que la realidad. Jamás olvides que el mapa no es el terreno.","La planificación es más importante que el plan, y el plan más importante que la realidad. El mapa no es el terreno.",,
22,22,22,"En Japón, se dice que la mejora se logra a través del Kaizen, enfocándose en pequeñas mejoras inmediatas para aumentar la calidad de las cosas. En Scrum, la retrospectiva al final de cada sprint permite reflexionar sobre lo que salió bien, qué podría haber salido mejor y cómo se puede mejorar en el siguiente sprint. La clave es no buscar a quien culpar; se examina el proceso. También se destaca la importancia de tener la fortaleza para abordar los asuntos que molestan de una manera orientada a la solución, no acusatoria. Al final de cada sprint, los miembros del equipo responden algunas preguntas: ¿Cómo te sientes con tu papel en la compañía? ¿Cómo te sientes con la compañía en general? ¿Por qué te sientes así? ¿Qué te haría más feliz en el siguiente sprint? Todo esto contribuye a triplicar nuestra productividad simplemente preguntándonos qué haría más feliz a la gente. Descubrimos entonces que, a diferencia de los indicadores financieros, el parámetro de felicidad es predictivo. Los","En Japón, se utiliza el Kaizen para lograr mejoras a través de pequeños cambios inmediatos. En Scrum, la retrospectiva al final de cada sprint permite reflexionar sobre lo que salió bien y cómo se puede mejorar. Se enfatiza en no buscar culpables, sino examinar el proceso y abordar los problemas de manera orientada a la solución. Al final de cada sprint, los miembros del equipo responden preguntas sobre su papel en la compañía y cómo se sienten, contribuyendo a triplicar la productividad al enfocarse en la felicidad de las personas.",,
23,23,23,"En el mundo de los negocios, los riesgos de mercado, técnico y financiero son frecuentes y representan desafíos para las empresas. En este sentido, la metodología Scrum se presenta como una herramienta efectiva para minimizar el riesgo de mercado al enfocarse en el incremento del cumplimiento y la rápida entrega de productos a los clientes. La elección de esta metodología no se basa solo en conceptos teóricos, sino en la capacidad de ver y tocar algo concreto.  
La gestión del riesgo técnico es fundamental para evitar pérdidas significativas en las empresas. Por otro lado, el riesgo financiero es una de las principales causas de quiebra en muchas organizaciones. Aunque estas empresas puedan tener productos fabulosos, no pueden venderlos por una suma suficiente para obtener ganancias. Por tanto, Scrums plantea la pregunta crucial para las empresas: ""¿Ganaremos dinero haciendo esto?"".","La metodología Scrum es efectiva para minimizar los riesgos de mercado, técnico y financiero en los negocios. Ayuda a incrementar el cumplimiento y la rápida entrega de productos a los clientes, evitando pérdidas significativas y la quiebra por falta de ganancias. Scrums plantea la pregunta crucial para las empresas: ""¿Ganaremos dinero haciendo esto?"".",,
